category;cohort;country
Dev Tools,2023,Bangladesh
AI Engineering,2025,India (IN)
Serverless,2023,India
Security,2025,United States of America (US)
Network C&D,2025,Germany (DE)
Data,2025,India (IN)
Security,2025,Nepal (NP)
Containers,2024,France
Serverless,2025,Egypt (EG)
Containers,2023,Egypt
Machine Learning,2023,Egypt
Security,2023,United States of America
Cloud Operations,2023,Indonesia
Machine Learning,2023,Pakistan
Containers,2025,Pakistan (PK)
Data,2024,Pakistan
AI Engineering,2022,Egypt
AI Engineering,2025,France (FR)
Containers,2025,Nigeria (NG)
Serverless,2025,United Arab Emirates (AE)
Network C&D,2025,Nigeria (NG)
Serverless,2025,India (IN)
Security,2025,India (IN)
Serverless,2024,Canada
Containers,2023,India
Containers,2023,India
Data,2020,India
Dev Tools,2023,India
Containers,2020,India
Security,2024,India
Security,2023,Canada
Cloud Operations,2025,India (IN)
Serverless,2025,Nepal (NP)
Machine Learning,2023,India
Data,2025,India (IN)
AI Engineering,2024,Nepal
AI Engineering,2025,India (IN)
Security,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Serverless,2025,Philippines (PH)
Dev Tools,2023,Sri Lanka
Machine Learning,2024,United States of America
Security,2022,United Kingdom of Great Britain and Northern Ireland
Security,2023,United States of America
Serverless,2023,Poland
Security,2025,Spain (ES)
Containers,2025,Italy (IT)
Security,2022,Nigeria
Security,2021,Kenya
Serverless,2025,Nigeria (NG)
Containers,2025,Nigeria (NG)
Network C&D,2025,India (IN)
Cloud Operations,2023,India
Containers,2023,India
Dev Tools,2023,Indonesia
AI Engineering,2025,India (IN)
AI Engineering,2025,India (IN)
Serverless,2021,South Africa
Serverless,2023,Hungary
Machine Learning,2024,Mexico
Containers,2023,France
Machine Learning,2022,Indonesia
Dev Tools,2023,India
Machine Learning,2022,Sri Lanka
Cloud Operations,2022,France
Containers,2025,Pakistan (PK)
Cloud Operations,2023,United Arab Emirates
Containers,2023,United Arab Emirates
Containers,2024,Bosnia and Herzegovina
Containers,2021,Malaysia
Machine Learning,2022,Egypt
Machine Learning,2022,Egypt
Machine Learning,2023,Egypt
Serverless,2025,Egypt (EG)
Serverless,2025,United Arab Emirates (AE)
Security,2021,Japan
Containers,2025,Malaysia (MY)
Containers,2022,Qatar
Cloud Operations,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Security,2024,United States of America
Dev Tools,2023,Nepal
Containers,2025,India (IN)
Serverless,2025,India (IN)
Data,2025,India (IN)
AI Engineering,2025,India (IN)
Containers,2021,India
Network C&D,2021,India
Containers,2021,Nepal
Containers,2022,Nigeria
Dev Tools,2022,Nigeria
Security,2025,Nepal (NP)
Containers,2025,India (IN)
Serverless,2025,India (IN)
Dev Tools,2022,India
Containers,2024,Singapore
Serverless,2024,India
Serverless,2021,India
Network C&D,2025,Australia (AU)
Serverless,2021,Finland
Containers,2022,Japan
Containers,2022,Benin
Dev Tools,2024,Japan
Security,2024,Japan
Serverless,2020,Japan
Network C&D,2024,Nepal
Cloud Operations,2023,India
Serverless,2023,Australia
Cloud Operations,2025,Peru (PE)
Security,2022,Kenya
Serverless,2025,Indonesia (ID)
AI Engineering,2025,Colombia (CO)
Dev Tools,2023,Colombia
Dev Tools,2023,Colombia
Security,2022,Spain
Dev Tools,2025,Mexico (MX)
AI Engineering,2022,Poland
Security,2023,Canada
Network C&D,2023,Bosnia and Herzegovina
Security,2024,Serbia
Containers,2025,Serbia (RS)
Machine Learning,2025,Italy (IT)
Serverless,2022,Germany
Dev Tools,2025,Germany (DE)
Cloud Operations,2024,Spain
Dev Tools,2022,Romania
Dev Tools,2020,United States of America
Security,2022,United States of America
Serverless,2021,United Kingdom of Great Britain and Northern Ireland
Serverless,2022,United Kingdom of Great Britain and Northern Ireland
Containers,2025,United States of America (US)
Containers,2025,Mexico (MX)
Serverless,2025,Romania (RO)
Data,2022,Colombia
Security,2023,Germany
Containers,2022,Thailand
Serverless,2023,Canada
Dev Tools,2025,Canada (CA)
Containers,2025,Israel (IL)
AI Engineering,2023,United States of America
Security,2022,Brazil
Serverless,2023,Peru
Data,2024,Germany
Data,2025,Kazakhstan (KZ)
Containers,2021,India
Serverless,2024,Israel
Containers,2022,Nigeria
Security,2022,Turkey
Serverless,2023,Netherlands
Serverless,2022,Germany
Serverless,2025,Pakistan (PK)
Containers,2021,Belarus
Data,2023,Brazil
Dev Tools,2022,India
Cloud Operations,2025,India (IN)
Serverless,2024,Canada
Serverless,2024,Sweden
Serverless,2024,Spain
Network C&D,2022,India
Cloud Operations,2023,India
Dev Tools,2022,United States of America
Cloud Operations,2025,Brazil (BR)
Machine Learning,2020,Canada
Containers,2024,Canada
Containers,2023,Brazil
Machine Learning,2023,United States of America
Cloud Operations,2025,Canada (CA)
Cloud Operations,2025,India (IN)
Security,2025,India (IN)
Cloud Operations,2025,Philippines (PH)
Dev Tools,2023,United States of America
Cloud Operations,2023,Bangladesh
Cloud Operations,2020,India
Machine Learning,2024,Nepal
Machine Learning,2022,United States of America
Serverless,2023,India
Containers,2025,Israel (IL)
Security,2024,United States of America
Containers,2023,India
Containers,2022,United States of America
Dev Tools,2025,United States of America (US)
Serverless,2022,Viet Nam
Dev Tools,2024,Macedonia
Dev Tools,2023,France
Data,2025,India (IN)
Security,2022,Spain
Serverless,2025,United States of America (US)
Cloud Operations,2023,India
Dev Tools,2022,Switzerland
Machine Learning,2023,Colombia
Security,2025,Spain (ES)
Containers,2023,Indonesia
Security,2020,Peru
Serverless,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Serverless,2025,Germany (DE)
Data,2024,Chile
AI Engineering,2023,Canada
Serverless,2025,Italy (IT)
Network C&D,2025,United States of America (US)
Network C&D,2025,Colombia (CO)
Cloud Operations,2020,Germany
Dev Tools,2020 beta,Germany
Machine Learning,2021,Austria
Dev Tools,2025,Sweden (SE)
Security,2025,Romania (RO)
Serverless,2023,United States of America
Serverless,2025,Canada (CA)
Cloud Operations,2020,United States of America
Data,2024,United States of America
Security,2020 beta,United States of America
Network C&D,2025,United States of America (US)
Security,2021,Sweden
Security,2023,Ukraine
Serverless,2023,Germany
Dev Tools,2025,Poland (PL)
Dev Tools,2025,Brazil (BR)
Cloud Operations,2025,Portugal (PT)
AI Engineering,2023,Mexico
Dev Tools,2021,United States of America
Containers,2025,Hong Kong (HK)
Containers,2025,Viet Nam (VN)
Machine Learning,2023,United States of America
Containers,2022,India
Data,2025,Nepal (NP)
Data,2025,India (IN)
Cloud Operations,2023,India
Serverless,2022,India
Dev Tools,2022,Nigeria
Data,2023,Nepal
AI Engineering,2025,Nepal (NP)
Serverless,2022,Macedonia
AI Engineering,2025,Germany (DE)
Security,2025,United Arab Emirates (AE)
Containers,2025,India (IN)
Security,2024,India
Security,2022,Thailand
Network C&D,2025,India (IN)
Data,2025,India (IN)
Containers,2025,India (IN)
Serverless,2025,India (IN)
Data,2023,Nepal
Security,2023,India
Data,2025,United States of America (US)
Serverless,2025,India (IN)
Machine Learning,2024,United States of America
Machine Learning,2023,Ukraine
Dev Tools,2025,Germany (DE)
Cloud Operations,2023,United Kingdom of Great Britain and Northern Ireland
Network C&D,2025,Qatar (QA)
Serverless,2023,Canada
Dev Tools,2024,Canada
Security,2023,Hong Kong (S.A.R.)
Network C&D,2025,Kenya (KE)
Serverless,2024,Sweden
Cloud Operations,2025,Poland (PL)
Security,2025,Kazakhstan (KZ)
Network C&D,2025,Ukraine (UA)
Containers,2025,Israel (IL)
Dev Tools,2021,Denmark
Security,2025,Nepal (NP)
Serverless,2025,United States of America (US)
Containers,2023,India
Dev Tools,2023,Nepal
Serverless,2025,India (IN)
Security,2023,Israel
Containers,2022,Nigeria
Data,2023,United Kingdom of Great Britain and Northern Ireland
Cloud Operations,2024,India
Containers,2023,India
Cloud Operations,2023,New Zealand
Dev Tools,2020 beta,Finland
Dev Tools,2023,Australia
Cloud Operations,2020,Poland
Dev Tools,2025,Philippines (PH)
Serverless,2025,Kazakhstan (KZ)
Serverless,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Security,2024,Mexico
Machine Learning,2023,Brazil
Data,2023,Germany
Security,2022,Hungary
Network C&D,2025,India (IN)
Containers,2025,United States of America (US)
Cloud Operations,2024,Germany
Cloud Operations,2025,Indonesia (ID)
Data,2023,Ukraine
Containers,2025,Ukraine (UA)
AI Engineering,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Cloud Operations,2022,Brazil
Cloud Operations,2022,Germany
Data,2025,India (IN)
Containers,2025,India (IN)
Machine Learning,2025,India (IN)
Cloud Operations,2022,United States of America
Data,2025,United States of America (US)
Dev Tools,2022,Indonesia
Security,2024,New Zealand
Serverless,2023,Sri Lanka
Security,2023,India
Cloud Operations,2023,India
Containers,2023,India
Security,2022,Australia
Data,2025,India (IN)
Serverless,2025,India (IN)
Dev Tools,2020,India
Security,2024,Japan
Cloud Operations,2025,Nepal (NP)
Data,2024,India
Security,2021,India
Serverless,2021,India
Data,2025,India (IN)
Data,2025,India (IN)
Network C&D,2025,Philippines (PH)
Serverless,2025,Bangladesh (BD)
Containers,2025,Egypt (EG)
Serverless,2022,United Arab Emirates
Cloud Operations,2025,Japan (JP)
Dev Tools,2021,Japan
Containers,2025,Japan (JP)
AI Engineering,2024,Japan
Serverless,2022,India
Cloud Operations,2025,Qatar (QA)
Network C&D,2021,Canada
Serverless,2025,Myanmar (MM)
Serverless,2025,France (FR)
Cloud Operations,2023,India
Containers,2021,India
Cloud Operations,2022,Singapore
Dev Tools,2021,Nepal
Machine Learning,2023,Nigeria
Cloud Operations,2021,Peru
Serverless,2025,Belgium (BE)
Dev Tools,2025,Argentina (AR)
Data,2025,Pakistan (PK)
Cloud Operations,2022,Norway
Serverless,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Containers,2022,Nigeria
Dev Tools,2022,Egypt
Serverless,2022,Egypt
Containers,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Data,2023,United Kingdom of Great Britain and Northern Ireland
Security,2025,Nigeria (NG)
Security,2025,Germany (DE)
Serverless,2024,Japan
AI Engineering,2025,United States of America (US)
AI Engineering,2025,India (IN)
Dev Tools,2023,United States of America
Security,2023,Nigeria
Dev Tools,2025,United States of America (US)
Containers,2023,Viet Nam
AI Engineering,2025,Viet Nam (VN)
Machine Learning,2023,United Arab Emirates
Cloud Operations,2023,Armenia
Serverless,2023,Cameroon
AI Engineering,2025,Kazakhstan (KZ)
Security,2025,United States of America (US)
Security,2024,India
Security,2025,Malaysia (MY)
Security,2021,Germany
Serverless,2022,Canada
Serverless,2025,Mexico (MX)
Dev Tools,2025,New Zealand (NZ)
Cloud Operations,2024,United Kingdom of Great Britain and Northern Ireland
Serverless,2025,Egypt (EG)
Cloud Operations,2022,Brazil
Serverless,2025,Australia (AU)
Network C&D,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Containers,2025,Sri Lanka (LK)
AI Engineering,2025,Switzerland (CH)
Serverless,2023,United States of America
Serverless,2021,Netherlands
Serverless,2025,Canada (CA)
Serverless,2021,Spain
Machine Learning,2023,Mauritius
Security,2022,Kenya
Containers,2025,Nigeria (NG)
Machine Learning,2020,Brazil
Machine Learning,2023,Nigeria
Network C&D,2025,Canada (CA)
Dev Tools,2022,Indonesia
Cloud Operations,2021,India
Serverless,2025,India (IN)
Dev Tools,2023,India
Security,2023,Colombia
Containers,2022,India
Dev Tools,2023,Pakistan
Security,2025,Nepal (NP)
Containers,2022,Viet Nam
Security,2022,Viet Nam
Security,2025,Nepal (NP)
Data,2025,Nepal (NP)
Network C&D,2025,Nepal (NP)
Serverless,2025,Bangladesh (BD)
Security,2024,United States of America
Dev Tools,2020,United States of America
Containers,2025,United States of America (US)
Cloud Operations,2023,United States of America
Serverless,2023,Poland
Serverless,2023,Australia
Serverless,2025,Nigeria (NG)
Dev Tools,2022,Ecuador
Security,2023,Singapore
Containers,2025,Bosnia and Herzegovina (BA)
Containers,2025,Hong Kong (HK)
Security,2024,Germany
Serverless,2021,Indonesia
Machine Learning,2022,Nigeria
Network C&D,2024,Canada
Dev Tools,2025,Kenya (KE)
Machine Learning,2024,Mexico
Data,2025,United States of America (US)
Serverless,2025,Singapore (SG)
Cloud Operations,2022,Brazil
Cloud Operations,2022,United States of America
Dev Tools,2021,Canada
Dev Tools,2023,United States of America
Dev Tools,2020,United States of America
Cloud Operations,2025,Ireland (IE)
Dev Tools,2021,Brazil
Machine Learning,2023,Brazil
Security,2021,Finland
Security,2021,Brazil
Serverless,2021,Netherlands
AI Engineering,2025,United States of America (US)
Network C&D,2022,Turkey
Data,2025,Sri Lanka (LK)
Containers,2024,South Korea
Containers,2022,South Korea
Dev Tools,2023,Turkey
Data,2025,Netherlands (NL)
Cloud Operations,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Containers,2022,Kenya
AI Engineering,2025,Chile (CL)
AI Engineering,2025,Bolivia (BO)
Containers,2023,New Zealand
Data,2022,United States of America
AI Engineering,2025,Italy (IT)
Network C&D,2025,Italy (IT)
Cloud Operations,2024,Brazil
Data,2021,Argentina
Security,2022,Peru
Serverless,2025,Canada (CA)
Cloud Operations,2023,United States of America
Cloud Operations,2022,Peru
Containers,2023,Brazil
Cloud Operations,2025,Sweden (SE)
AI Engineering,2025,Viet Nam (VN)
Security,2025,United States of America (US)
Security,2021,Canada
Cloud Operations,2025,Netherlands (NL)
Machine Learning,2022,Israel
AI Engineering,2025,India (IN)
Security,2024,New Zealand
AI Engineering,2025,Singapore (SG)
Serverless,2025,Sri Lanka (LK)
Dev Tools,2023,India
Containers,2022,Saudi Arabia
Cloud Operations,2025,Australia (AU)
Data,2022,China
Serverless,2023,Taiwan
Serverless,2025,Sri Lanka (LK)
Machine Learning,2023,United States of America
Serverless,2025,Canada (CA)
Serverless,2021,Nigeria
Serverless,2023,United Kingdom of Great Britain and Northern Ireland
Serverless,2025,Viet Nam (VN)
Security,2024,Hong Kong (S.A.R.)
Serverless,2021,Taiwan
Containers,2022,Kenya
Machine Learning,2023,India
Containers,2025,India (IN)
Dev Tools,2021,Hong Kong (S.A.R.)
Serverless,2022,Nigeria
Serverless,2023,Nigeria
Security,2023,Nigeria
AI Engineering,2025,Viet Nam (VN)
AI Engineering,2025,Taiwan (TW)
Cloud Operations,2024,Nigeria
AI Engineering,2025,India (IN)
Security,2025,India (IN)
Network C&D,2025,India (IN)
Serverless,2023,Sri Lanka
Serverless,2023,India
Security,2025,Singapore (SG)
Machine Learning,2023,New Zealand
Data,2020 beta,United Kingdom of Great Britain and Northern Ireland
Serverless,2024,France
Network C&D,2023,Australia
Serverless,2024,United States of America
Serverless,2020,United States of America
Serverless,2023,Germany
Serverless,2023,South Korea
Serverless,2025,United States of America (US)
Serverless,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Network C&D,2025,United States of America (US)
Security,2025,South Africa (ZA)
Dev Tools,2024,Australia
Security,2022,Switzerland
Security,2024,France
Security,2024,United States of America
Data,2022,Kenya
Dev Tools,2023,United Kingdom of Great Britain and Northern Ireland
Security,2023,United Kingdom of Great Britain and Northern Ireland
Serverless,2022,Singapore
Dev Tools,2023,United Kingdom of Great Britain and Northern Ireland
Serverless,2025,Nigeria (NG)
Data,2021,Brazil
Dev Tools,2023,Italy
Network C&D,2024,Brazil
Dev Tools,2022,Nigeria
Dev Tools,2025,South Africa (ZA)
Serverless,2020,United States of America
Network C&D,2023,United Kingdom of Great Britain and Northern Ireland
Dev Tools,2022,Kenya
Serverless,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Serverless,2023,United Kingdom of Great Britain and Northern Ireland
Serverless,2023,France
Network C&D,2023,United States of America
Dev Tools,2021,Peru
Data,2021,Argentina
Serverless,2022,Australia
Security,2022,Spain
Machine Learning,2022,Ecuador
Dev Tools,2023,Hungary
Security,2021,Viet Nam
Machine Learning,2023,Mexico
Cloud Operations,2022,United Kingdom of Great Britain and Northern Ireland
Containers,2025,Chile (CL)
Data,2021,Australia
Containers,2023,South Korea
Cloud Operations,2024,Japan
Containers,2025,Japan (JP)
Data,2025,Japan (JP)
Dev Tools,2024,United States of America
Security,2022,United States of America
Containers,2025,Australia (AU)
Data,2025,Uganda (UG)
Machine Learning,2022,Peru
Cloud Operations,2024,Italy
Security,2022,United States of America
AI Engineering,2023,Ireland
Data,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Network C&D,2024,Brazil
Serverless,2023,United Arab Emirates
Containers,2020,Colombia
Data,2023,United Kingdom of Great Britain and Northern Ireland
Data,2024,United Kingdom of Great Britain and Northern Ireland
AI Engineering,2023,Colombia
Dev Tools,2021,Germany
Dev Tools,2022,Kenya
Dev Tools,2022,New Zealand
Dev Tools,2021,Germany
Machine Learning,2021,Colombia
Machine Learning,2022,United States of America
Network C&D,2022,United Kingdom of Great Britain and Northern Ireland
Security,2023,United Kingdom of Great Britain and Northern Ireland
Security,2020,Spain
Serverless,2023,United States of America
Serverless,2020 beta,Singapore
Serverless,2020 beta,Canada
Serverless,2025,Ghana (GH)
Containers,2025,Kenya (KE)
Serverless,2025,Colombia (CO)
AI Engineering,2025,Chile (CL)
Serverless,2021,Switzerland
Serverless,2022,Germany
Machine Learning,2022,Brazil
Network C&D,2022,United States of America
Serverless,2023,Hong Kong (S.A.R.)
Serverless,2020,Netherlands
Dev Tools,2021,Viet Nam
Serverless,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Serverless,2025,Philippines (PH)
Machine Learning,2020,United Kingdom of Great Britain and Northern Ireland
Serverless,2025,Canada (CA)
Data,2023,India
Serverless,2021,New Zealand
Dev Tools,2020,United States of America
AI Engineering,2022,Poland
Containers,2024,Denmark
Serverless,2024,Australia
Cloud Operations,2020 beta,Canada
Cloud Operations,2022,Spain
Containers,2021,Spain
Data,2023,Hong Kong (S.A.R.)
Dev Tools,2024,Colombia
Dev Tools,2021,United States of America
Network C&D,2022,Nigeria
Security,2022,United Kingdom of Great Britain and Northern Ireland
Security,2020,Germany
Serverless,2024,United States of America
Serverless,2020,Mexico
Serverless,2023,Israel
Cloud Operations,2025,Egypt (EG)
Cloud Operations,2025,United States of America (US)
Security,2025,United States of America (US)
Serverless,2022,Germany
Serverless,2025,Italy (IT)
AI Engineering,2025,Netherlands (NL)
Machine Learning,2025,Poland (PL)
Security,2023,Philippines
AI Engineering,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Dev Tools,2021,India
Cloud Operations,2022,United Kingdom of Great Britain and Northern Ireland
Dev Tools,2022,Germany
Containers,2025,India (IN)
Machine Learning,2022,Cameroon
Containers,2025,China (CN)
Dev Tools,2025,Kenya (KE)
Serverless,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Dev Tools,2025,Uruguay (UY)
Network C&D,2024,United Kingdom of Great Britain and Northern Ireland
Cloud Operations,2025,United States of America (US)
Cloud Operations,2022,Indonesia
AI Engineering,2025,Germany (DE)
Data,2023,United States of America
Dev Tools,2023,United States of America
Dev Tools,2022,Nepal
Machine Learning,2025,United States of America (US)
Dev Tools,2023,Nigeria
AI Engineering,2024,United States of America
Network C&D,2022,South Africa
Security,2025,India (IN)
Network C&D,2024,India
Data,2025,United States of America (US)
Containers,2025,India (IN)
Data,2025,Germany (DE)
Machine Learning,2021,India
Cloud Operations,2024,Costa Rica
Dev Tools,2023,Peru
Containers,2023,Nepal
Dev Tools,2022,Nigeria
Machine Learning,2023,Hong Kong (S.A.R.)
Network C&D,2024,Spain
AI Engineering,2025,France (FR)
Dev Tools,2022,Sri Lanka
Network C&D,2025,Sri Lanka (LK)
Data,2023,United Arab Emirates
Machine Learning,2023,Greece
Cloud Operations,2023,India
Containers,2024,New Zealand
Dev Tools,2025,India (IN)
Cloud Operations,2023,Sri Lanka
Cloud Operations,2025,United States of America (US)
Dev Tools,2021,Nepal
Data,2021,United States of America
Containers,2025,United Kingdom of Great Britain and Northern Ireland (GB)
Serverless,2023,Ireland
Cloud Operations,2022,India
Security,2023,India
Cloud Operations,2025,Nepal (NP)
Dev Tools,2023,India
Serverless,2025,Sri Lanka (LK)
Cloud Operations,2024,Austria
Containers,2025,Australia (AU)
Serverless,2025,Republic of Korea (KR)
Containers,2025,Thailand (TH)
Containers,2022,Brazil
AI Engineering,2025,United Arab Emirates (AE)
Security,2025,India (IN)
Data,2022,United States of America
Serverless,2022,Singapore
